country,visits
United Kingdom,364393
United States,95192
Australia,21383
Germany,16630
Italy,15869
France,14820
Spain,13307
Canada,11936
Japan,10630
Netherlands,7465
China,6047
India,5889
Belgium,4617
Russian Federation,4598
Brazil,3996
South Korea,3866
Sweden,3850
Poland,3625
Switzerland,3307
Hong Kong,3284
